,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label,durationsec
54,2011-01-25 18:52:49.628538132,CP8luU2wH4tt2rW4Ul,192.168.3.131,56029,65.54.95.142,80,tcp,http,0 days 00:00:13.645209,1231,6881,SF,,,0,ShADdfFa,9,1603,9,7253,,normal,13.645209
55,2011-01-25 18:52:50.254799128,C8TGKB2QGw5OMRYH,192.168.3.131,56044,65.54.95.216,80,tcp,http,0 days 00:00:13.019041,530,18113,SF,,,0,ShADadfF,13,1062,17,18805,,normal,13.019041
56,2011-01-25 18:52:52.752055168,CSPRH23Xk2ocHHVQgl,192.168.3.131,56070,65.54.95.68,80,tcp,http,0 days 00:00:10.521844,676,34748,SF,,,0,ShADadfF,16,1328,28,35880,,normal,10.521844
57,2011-01-25 18:52:51.788123131,CPofL43gWMWFkYV466,192.168.3.131,56064,65.54.95.75,80,tcp,http,0 days 00:00:11.485828,1354,158965,SF,,,0,ShADadfF,54,3526,115,163577,,normal,11.485828
58,2011-01-25 18:52:51.250755072,Cz4FE418UFAR5J7F2c,192.168.3.131,56057,65.54.95.66,80,tcp,http,0 days 00:00:12.023254,1818,5950,SF,,,0,ShADadfF,9,2190,10,6362,,normal,12.023254
59,2011-01-25 18:52:51.591766119,CW1LOCokY0WFILXzc,192.168.3.131,56059,65.54.95.39,80,tcp,http,0 days 00:00:11.682307,2145,6674,SF,,,0,ShADadfF,13,2677,12,7166,,normal,11.682307
60,2011-01-25 18:52:51.171240091,CcY4YD1if0PrjvwP95,192.168.3.131,56055,65.54.95.39,80,tcp,http,0 days 00:00:12.102883,2807,9969,SF,,,0,ShADadfF,15,3419,15,10581,,normal,12.102883
61,2011-01-25 18:52:51.171367884,Cf4nUU275WK4S5UtQe,192.168.3.131,56056,65.54.95.39,80,tcp,http,0 days 00:00:12.102802,2195,4210,SF,,,0,ShADadfF,12,2687,10,4622,,normal,12.102802
62,2011-01-25 18:52:52.637447119,CMB6fXkdrf1RPZCta,192.168.3.131,56069,65.54.95.75,80,tcp,http,0 days 00:00:10.636777,3202,24160,SF,,,0,ShADadfF,16,3854,22,25052,,normal,10.636777
63,2011-01-25 18:52:53.237389088,CmFTlz1LW6WxcgwD05,192.168.3.131,56073,65.54.95.75,80,tcp,http,0 days 00:00:10.036884,3814,29867,SF,,,0,ShADadfF,20,4626,29,31039,,normal,10.036884
